,Calorías activas,Calorías en reposo,Total,temp max,temp min
07/05/2023,925,15568,16493,22.2,1.4
30/04/2023,372,15568,15940,28,9
23/04/2023,1242,15568,16810,25,2.7
16/04/2023,1274,13845,15119,30.1,5.2
09/04/2023,826,15568,16394,28,11.3
02/04/2023,188,8896,9084,31,5.5
26/03/2023,0,9436,9436,29.5,13.6
19/03/2023,1155,15568,16723,37,20
12/03/2023,1500,15552,17052,39.5,20.1
05/03/2023,160,15568,15728,39.5,18
26/02/2023,627,15274,15901,34.4,10
19/02/2023,436,15568,16004,34,6.8
12/02/2023,0,6672,6672,39.5,16.2
05/02/2023,1452,9022,10474,32,13.3
29/01/2023,0,15568,15568,35.1,18
22/01/2023,26,15568,15594,37,17.4
15/01/2023,460,8407,8867,35.5,12.8
08/01/2023,1806,15568,17374,33.9,12
01/01/2023,2082,15670,17752,37.5,10
25/12/2022,548,2242,2790,33,8.7
18/12/2022,446,3297,3743,33,13
11/12/2022,1134,15694,16828,38.5,18.4
04/12/2022,2026,15694,17720,34.3,13
27/11/2022,4508,15279,19787,37,8.5
20/11/2022,3303,15736,19039,35,11
13/11/2022,1528,15736,17264,30.1,13.6
06/11/2022,4612,15736,20348,27.2,1.4
30/10/2022,6696,13452,20148,34,9
23/10/2022,4529,11240,15769,26,5
16/10/2022,1344,0,1344,29.7,0.4
09/10/2022,2036,15736,17772,28.5,2
02/10/2022,3713,15736,19449,27.9,5
25/09/2022,2191,15736,17927,22.5,1.5
18/09/2022,2158,15736,17894,24.6,2.3
11/09/2022,3637,15856,19493,25.5,-1.8
04/09/2022,2129,15946,18075,22.4,-2.3
28/08/2022,4664,15946,20610,27,1.9
21/08/2022,1909,0,1909,20.5,-4.5
14/08/2022,417,0,417,24,0.5
07/08/2022,501,0,501,18.7,-2.1
31/07/2022,0,1122,1122,22.5,0.5
24/07/2022,0,2278,2278,20.2,-2.5
17/07/2022,522,10875,11397,17,-1
10/07/2022,0,3473,3473,22,-3.7
03/07/2022,1115,0,1115,19.6,-3.5
26/06/2022,1060,0,1060,15.5,-0.5
19/06/2022,724,6672,7396,20,-4.6
12/06/2022,393,15568,15961,19.5,-3.4
05/06/2022,0,13344,13344,16,-4.7
29/05/2022,734,15540,16274,22,3
22/05/2022,1005,13302,14307,22,0
15/05/2022,1776,15519,17295,15.3,3.6
,,,,,
