Fecha,Calorías activas,Calorías en reposo,temp max,temp min,Indice BIG MAC
07/05/2023,925,Activa,20.4,7.6,0.95
30/04/2023,372,Activa,25.5,14.1,0.38
23/04/2023,1242,Activa,21.4,9.3,1.28
16/04/2023,1274,Activa,23.2,10.1,1.31
09/04/2023,826,Activa,25.6,14.4,0.85
02/04/2023,188,Activa,25,13.6,0.19
26/03/2023,0,Activa,27.3,18.4,0
19/03/2023,1155,Activa,33.6,23.8,1.19
12/03/2023,1500,Activa,36.4,23.1,1.55
05/03/2023,160,Activa,35.8,21.9,0.16
26/02/2023,627,Activa,31.6,16.6,0.65
19/02/2023,436,Activa,27.6,14,0.45
12/02/2023,0,Activa,36.3,21.2,0
05/02/2023,1452,Activa,29.7,19.2,1.5
29/01/2023,0,Activa,32.6,20.4,0
22/01/2023,26,Activa,33.9,22.2,0.03
15/01/2023,460,Activa,32.2,17.4,0.47
08/01/2023,1806,Activa,32.4,18.9,1.86
01/01/2023,2082,Activa,30.9,16.8,2.15
25/12/2022,548,Activa,29.1,18.9,0.56
18/12/2022,446,Activa,28.6,16.4,0.46
11/12/2022,1134,Activa,35.6,21.2,1.17
04/12/2022,2026,Activa,30.5,18.2,2.09
27/11/2022,4508,Activa,29.5,16,4.65
20/11/2022,3303,Activa,30.6,18,3.41
13/11/2022,1528,Activa,27.1,16.5,1.58
06/11/2022,4612,Activa,24.2,9.6,4.75
30/10/2022,6696,Activa,27.3,13.1,6.9
23/10/2022,4529,Activa,22.3,12.4,4.67
16/10/2022,1344,Activa,21.5,8,1.39
09/10/2022,2036,Activa,22.5,9.1,2.1
02/10/2022,3713,Activa,23.2,6.9,3.83
25/09/2022,2191,Activa,20.1,7.4,2.26
18/09/2022,2158,Activa,22,7.9,2.22
11/09/2022,3637,Activa,21.1,4.7,3.75
04/09/2022,2129,Activa,19.1,5.8,2.19
28/08/2022,4664,Activa,21.3,7,4.81
21/08/2022,1909,Activa,17.9,3.7,1.97
14/08/2022,417,Activa,18.6,6.8,0.43
07/08/2022,501,Activa,16.4,3.1,0.52
31/07/2022,0,Activa,19.3,9,0
24/07/2022,0,Activa,18,5.4,0
17/07/2022,522,Activa,13.6,5.5,0.54
10/07/2022,0,Activa,15.9,6.3,0
03/07/2022,1115,Activa,15.3,1.7,1.15
26/06/2022,1060,Activa,12.4,3.1,1.09
19/06/2022,724,Activa,17.6,2.4,0.75
12/06/2022,393,Activa,15.7,2.8,0.41
05/06/2022,0,Activa,13.6,-0.5,0
29/05/2022,734,Activa,16.2,5.4,0.76
22/05/2022,1005,Activa,17.9,4.9,1.04
15/05/2022,1776,Activa,15.3,3.6,1.83
07/05/2023,15568,Reposo,20.4,7.6,0
30/04/2023,15568,Reposo,25.5,14.1,0
23/04/2023,15568,Reposo,21.4,9.3,0
16/04/2023,13845,Reposo,23.2,10.1,0
09/04/2023,15568,Reposo,25.6,14.4,0
02/04/2023,8896,Reposo,25,13.6,0
26/03/2023,9436,Reposo,27.3,18.4,0
19/03/2023,15568,Reposo,33.6,23.8,0
12/03/2023,15552,Reposo,36.4,23.1,0
05/03/2023,15568,Reposo,35.8,21.9,0
26/02/2023,15274,Reposo,31.6,16.6,0
19/02/2023,15568,Reposo,27.6,14,0
12/02/2023,6672,Reposo,36.3,21.2,0
05/02/2023,9022,Reposo,29.7,19.2,0
29/01/2023,15568,Reposo,32.6,20.4,0
22/01/2023,15568,Reposo,33.9,22.2,0
15/01/2023,8407,Reposo,32.2,17.4,0
08/01/2023,15568,Reposo,32.4,18.9,0
01/01/2023,15670,Reposo,30.9,16.8,0
25/12/2022,2242,Reposo,29.1,18.9,0
18/12/2022,3297,Reposo,28.6,16.4,0
11/12/2022,15694,Reposo,35.6,21.2,0
04/12/2022,15694,Reposo,30.5,18.2,0
27/11/2022,15279,Reposo,29.5,16,0
20/11/2022,15736,Reposo,30.6,18,0
13/11/2022,15736,Reposo,27.1,16.5,0
06/11/2022,15736,Reposo,24.2,9.6,0
30/10/2022,13452,Reposo,27.3,13.1,0
23/10/2022,11240,Reposo,22.3,12.4,0
16/10/2022,0,Reposo,21.5,8,0
09/10/2022,15736,Reposo,22.5,9.1,0
02/10/2022,15736,Reposo,23.2,6.9,0
25/09/2022,15736,Reposo,20.1,7.4,0
18/09/2022,15736,Reposo,22,7.9,0
11/09/2022,15856,Reposo,21.1,4.7,0
04/09/2022,15946,Reposo,19.1,5.8,0
28/08/2022,15946,Reposo,21.3,7,0
21/08/2022,0,Reposo,17.9,3.7,0
14/08/2022,0,Reposo,18.6,6.8,0
07/08/2022,0,Reposo,16.4,3.1,0
31/07/2022,1122,Reposo,19.3,9,0
24/07/2022,2278,Reposo,18,5.4,0
17/07/2022,10875,Reposo,13.6,5.5,0
10/07/2022,3473,Reposo,15.9,6.3,0
03/07/2022,0,Reposo,15.3,1.7,0
26/06/2022,0,Reposo,12.4,3.1,0
19/06/2022,6672,Reposo,17.6,2.4,0
12/06/2022,15568,Reposo,15.7,2.8,0
05/06/2022,13344,Reposo,13.6,-0.5,0
29/05/2022,15540,Reposo,16.2,5.4,0
22/05/2022,13302,Reposo,17.9,4.9,0
15/05/2022,15519,Reposo,15.3,3.6,0
07/05/2023,16493,Total,20.4,7.6,0
30/04/2023,15940,Total,25.5,14.1,0
23/04/2023,16810,Total,21.4,9.3,0
16/04/2023,15119,Total,23.2,10.1,0
09/04/2023,16394,Total,25.6,14.4,0
02/04/2023,9084,Total,25,13.6,0
26/03/2023,9436,Total,27.3,18.4,0
